turn_id,pause_index,p_eot
hi__072,0,0.4828
hi__072,1,0.5613
hi__073,0,0.3789
hi__073,1,0.5966
hi__073,2,0.5178
hi__073,3,0.5516
hi__073,4,0.5921
hi__073,5,0.5566
hi__074,0,0.4272
hi__074,1,0.5569
hi__075,0,0.3075
hi__075,1,0.5884
hi__076,0,0.4873
hi__077,0,0.5086
hi__077,1,0.4137
hi__077,2,0.6440
hi__078,0,0.5142
hi__078,1,0.5687
hi__078,2,0.5186
hi__078,3,0.6568
hi__079,0,0.2894
hi__079,1,0.5395
hi__079,2,0.6948
hi__080,0,0.3445
hi__080,1,0.5346
hi__081,0,0.3720
hi__081,1,0.5528
hi__081,2,0.6753
hi__082,0,0.4061
hi__083,0,0.4942
hi__084,0,0.5978
hi__085,0,0.4292
hi__085,1,0.6654
hi__085,2,0.6414
hi__086,0,0.4360
hi__086,1,0.4457
hi__087,0,0.4862
hi__087,1,0.4977
hi__087,2,0.6023
hi__088,0,0.3721
hi__088,1,0.5158
hi__088,2,0.6174
hi__089,0,0.4025
hi__089,1,0.4685
hi__089,2,0.5189
hi__090,0,0.3612
hi__090,1,0.4026
hi__090,2,0.5916
hi__090,3,0.4780
hi__091,0,0.5507
hi__092,0,0.4581
hi__093,0,0.4122
hi__094,0,0.3159
hi__094,1,0.5405
hi__094,2,0.5524
hi__094,3,0.6336
hi__094,4,0.5300
hi__094,5,0.5428
hi__095,0,0.5080
hi__095,1,0.5833
hi__096,0,0.3779
hi__096,1,0.5440
hi__096,2,0.4504
hi__096,3,0.5463
hi__097,0,0.3455
hi__097,1,0.5239
hi__097,2,0.4459
hi__097,3,0.4949
hi__097,4,0.5947
hi__097,5,0.5136
hi__098,0,0.4170
hi__099,0,0.4418
hi__099,1,0.5333
